Ort,place_id,lat,lon,wikidata_id,wikidata_url
Stettin,298078988,53.4301818,14.5509623,Q393,https://www.wikidata.org/wiki/Q393
Berlin,297499108,52.5170365,13.3888599,Q64,https://www.wikidata.org/wiki/Q64
Breslau,297696155,51.1089776,17.0326689,Q1799,https://www.wikidata.org/wiki/Q1799
Oschatz,297697369,51.297984,13.1082637,Q12056,https://www.wikidata.org/wiki/Q12056
Hamburg,297561852,53.550341,10.000654,Q1055,https://www.wikidata.org/wiki/Q1055
Myslowitz,298045311,50.2096211,19.132165997410812,Q161595,https://www.wikidata.org/wiki/Q161595
Neuruppin,298142150,52.9243859,12.8092919,Q16085,https://www.wikidata.org/wiki/Q16085
Neustrelitz,298018215,53.3617163,13.0630004,Q20352,https://www.wikidata.org/wiki/Q20352
Hamborn,297802536,51.5041215,6.772532547024161,Q512233,https://www.wikidata.org/wiki/Q512233
Magdeburg,297480561,52.1315889,11.6399609,Q1733,https://www.wikidata.org/wiki/Q1733
Ostenfelde,22663764,52.1579793,8.3961187,NA,https://www.wikidata.org/wiki/
Danzig,299112587,54.3706858,18.61298210330077,NA,https://www.wikidata.org/wiki/
Charlottenburg,297961580,52.515747,13.3096834,Q162049,https://www.wikidata.org/wiki/Q162049
Stendal,297959376,52.6050782,11.8594279,Q7082,https://www.wikidata.org/wiki/Q7082
Chemnitz,297837973,50.8322608,12.9252977,Q2795,https://www.wikidata.org/wiki/Q2795
Posen,298345411,52.4006632,16.91973259178088,Q268,https://www.wikidata.org/wiki/Q268
Stargard,298022906,53.30897745,15.031645934671849,Q106268,https://www.wikidata.org/wiki/Q106268
Teplitz,297719023,50.6406644,13.8244461,Q146342,https://www.wikidata.org/wiki/Q146342
Blankenburg,297863566,51.7902676,10.9551991,Q525960,https://www.wikidata.org/wiki/Q525960
Prerau,297685874,49.4553775,17.4508621,Q470380,https://www.wikidata.org/wiki/Q470380
Leipzig,297445690,51.3406321,12.3747329,Q2079,https://www.wikidata.org/wiki/Q2079
Schöneberg,298015777,52.482157,13.3551901,Q313189,https://www.wikidata.org/wiki/Q313189
Greifenberg,298411882,48.0707446,11.0835556,Q627500,https://www.wikidata.org/wiki/Q627500
Dresden,297743142,51.0493286,13.7381437,Q1731,https://www.wikidata.org/wiki/Q1731
Eggesin,298265150,53.6820915,14.077945,Q572034,https://www.wikidata.org/wiki/Q572034
Demmin,297817300,53.9070019,13.0327836,Q50960,https://www.wikidata.org/wiki/Q50960
Grünberg,298014237,50.5913238,8.9603407,Q522469,https://www.wikidata.org/wiki/Q522469
Altenburg,297843656,50.9852411,12.4340988,Q15976,https://www.wikidata.org/wiki/Q15976
Friedenau,297917762,52.472075,13.3296424,Q692390,https://www.wikidata.org/wiki/Q692390
Luckenwalde,297653680,52.0902045,13.1741882,Q574146,https://www.wikidata.org/wiki/Q574146
Pankow,297906394,52.5979174,13.435316,Q163012,https://www.wikidata.org/wiki/Q163012
Züllichau,298090241,52.0854782,15.6259091,Q457865,https://www.wikidata.org/wiki/Q457865
Boston,297978730,42.3554334,-71.060511,Q100,https://www.wikidata.org/wiki/Q100
Bohnsdorf,297643288,52.4022426,13.5706649,Q562450,https://www.wikidata.org/wiki/Q562450
Bernau,297790118,52.6787254,13.5881114,Q9300,https://www.wikidata.org/wiki/Q9300
Bohnsdorf,297643288,52.4022426,13.5706649,Q562450,https://www.wikidata.org/wiki/Q562450
Leipzig,297445690,51.3406321,12.3747329,Q2079,https://www.wikidata.org/wiki/Q2079
Wilhelmshaven,298060357,53.5278793,8.106301,Q3857,https://www.wikidata.org/wiki/Q3857
Rixdorf,5042433,52.4740949,13.4456092,Q50827814,https://www.wikidata.org/wiki/Q50827814
Falkenburg,299133561,50.8647531,5.8312518,Q100076,https://www.wikidata.org/wiki/Q100076
Görlitz,297689054,51.1563185,14.991018,Q4077,https://www.wikidata.org/wiki/Q4077
Halensee,297646492,52.4972262,13.2929986,Q651009,https://www.wikidata.org/wiki/Q651009
Bromberg,298070663,53.1219648,18.0002529,Q41252,https://www.wikidata.org/wiki/Q41252
Güstrow,297927986,53.7936523,12.1759661,Q16147,https://www.wikidata.org/wiki/Q16147
Woltersdorf,297819997,53.5776994,10.6387716,Q667219,https://www.wikidata.org/wiki/Q667219
Frankfurt,297654448,50.1106444,8.6820917,Q1794,https://www.wikidata.org/wiki/Q1794
Fulda,297679443,50.5542328,9.6770448,Q3963,https://www.wikidata.org/wiki/Q3963
Waidmannslust,297488270,52.6080354,13.3225327,Q648245,https://www.wikidata.org/wiki/Q648245
Friedenau,297917762,52.472075,13.3296424,Q692390,https://www.wikidata.org/wiki/Q692390
Pernambuco,298308912,-8.4116316,-37.5919699,Q40942,https://www.wikidata.org/wiki/Q40942
Perleberg,298536114,53.0762716,11.8627933,Q498540,https://www.wikidata.org/wiki/Q498540
Friedrichshütte,41617526,51.9213904,8.5551113,NA,https://www.wikidata.org/wiki/
Braunschweig,297465948,52.2646577,10.5236066,Q2773,https://www.wikidata.org/wiki/Q2773
Schosdorf,298582010,51.050254700000004,15.4291446,Q7876575,https://www.wikidata.org/wiki/Q7876575
Luckenwalde,297653680,52.0902045,13.1741882,Q574146,https://www.wikidata.org/wiki/Q574146
Schöneberg,298015777,52.482157,13.3551901,Q313189,https://www.wikidata.org/wiki/Q313189
Zaegensdorf,164768,53.2144557,15.5469973,Q8083236,https://www.wikidata.org/wiki/Q8083236
Zehlendorf,298056396,52.4343217,13.2589298,Q324402,https://www.wikidata.org/wiki/Q324402
Kiel,297840634,54.3227085,10.135555,Q1707,https://www.wikidata.org/wiki/Q1707
Frankfurt,297654448,50.1106444,8.6820917,Q1794,https://www.wikidata.org/wiki/Q1794
Essen,297475758,51.4582235,7.0158171,Q2066,https://www.wikidata.org/wiki/Q2066
Rathenow,297780647,52.6063876,12.3382608,Q525425,https://www.wikidata.org/wiki/Q525425
Grimma,297653593,51.2383379,12.7287511,Q10780,https://www.wikidata.org/wiki/Q10780
Pankow,297906394,52.5979174,13.435316,Q163012,https://www.wikidata.org/wiki/Q163012
Röblin,297840418,49.9618578,14.2482654,Q2659896,https://www.wikidata.org/wiki/Q2659896
Hannover,298126716,52.3744779,9.7385532,Q1715,https://www.wikidata.org/wiki/Q1715
Halle,297970160,51.4825041,11.9705452,Q2814,https://www.wikidata.org/wiki/Q2814
Brandenburg,297989984,52.8455492,13.2461296,Q1208,https://www.wikidata.org/wiki/Q1208
Bischofswerda,298249409,51.1277815,14.1795516,Q81717,https://www.wikidata.org/wiki/Q81717
Greifenhagen,298340903,53.2535889,14.4924243,Q186441,https://www.wikidata.org/wiki/Q186441
Kolberg,298138508,54.176211550000005,15.57640369780165,Q110011,https://www.wikidata.org/wiki/Q110011
Mariendorf,298275196,52.44008,13.3900277,Q602159,https://www.wikidata.org/wiki/Q602159
Ostrau,297754099,49.8349139,18.2820084,Q8385,https://www.wikidata.org/wiki/Q8385
Cottbus,297611521,51.7567447,14.3357307,Q3214,https://www.wikidata.org/wiki/Q3214
Stralsund,297427399,54.3096314,13.0820846,Q4065,https://www.wikidata.org/wiki/Q4065
Hohenlandin,15598816,53.0882997,14.1305512,Q92039304,https://www.wikidata.org/wiki/Q92039304
Schmiegel,298036833,52.012744,16.5271118,Q387194,https://www.wikidata.org/wiki/Q387194
Berlin-Weißensee,297829899,52.5546193,13.4630018,Q675164,https://www.wikidata.org/wiki/Q675164
Barmen,735716,51.2716035,7.2003449,Q153974,https://www.wikidata.org/wiki/Q153974
Graudenz,298028921,53.47251195,18.761893676880046,Q123511,https://www.wikidata.org/wiki/Q123511
Meiningen,298308084,50.57342505,10.428371137607764,Q487278,https://www.wikidata.org/wiki/Q487278
Steglitz,297651184,52.4572569,13.3222865,Q700211,https://www.wikidata.org/wiki/Q700211
Oppeln,298034205,50.678792900000005,17.929884436033525,Q92212,https://www.wikidata.org/wiki/Q92212
Bismarckhütte,5109781,50.2695768,18.9391417,Q1076659,https://www.wikidata.org/wiki/Q1076659
Memel,298850624,55.7127529,21.1350469,Q776965,https://www.wikidata.org/wiki/Q776965
Arnswalde,298169101,53.1704801,15.4167349,Q640223,https://www.wikidata.org/wiki/Q640223
Wilster,298145531,53.9233519,9.3741366,Q506560,https://www.wikidata.org/wiki/Q506560
Sebnitz,297866308,50.97098,14.2727203,Q6483,https://www.wikidata.org/wiki/Q6483
Alt-Damm,120373150,54.3754704,9.4288497,NA,https://www.wikidata.org/wiki/
Mannheim,297815868,49.4892913,8.4673098,Q2119,https://www.wikidata.org/wiki/Q2119
Anklam,298064839,53.8560526,13.688091,Q488513,https://www.wikidata.org/wiki/Q488513
Rummelsburg,297642215,52.5013696,13.4835143,Q561880,https://www.wikidata.org/wiki/Q561880
Köln,297859479,50.938361,6.959974,Q365,https://www.wikidata.org/wiki/Q365
Hirschberg,297991455,50.3781716,7.9223613,Q562961,https://www.wikidata.org/wiki/Q562961
Königstein,297660134,50.1818833,8.465271,Q569661,https://www.wikidata.org/wiki/Q569661
Thorn,297944820,53.0102721,18.6048094,Q47554,https://www.wikidata.org/wiki/Q47554
Liegnitz,298079746,51.204768900000005,16.174675034638256,Q106274,https://www.wikidata.org/wiki/Q106274
Mühlhausen,298057362,51.2094255,10.4589044,Q14925,https://www.wikidata.org/wiki/Q14925
Königsberg,298373237,54.710128,20.5105838,Q1829,https://www.wikidata.org/wiki/Q1829
Königshütte,299147190,50.288556299999996,18.97044253093511,Q104302,https://www.wikidata.org/wiki/Q104302
Annaberg,298009262,47.8643157,15.349100740517551,Q564141,https://www.wikidata.org/wiki/Q564141
Gnesen,298130481,52.52465015,17.598152438162245,Q51432,https://www.wikidata.org/wiki/Q51432
Stolzenberg,3144241,49.1118253,7.7136549,NA,https://www.wikidata.org/wiki/
Freienwalde,298145879,52.787521,14.0300689,Q427655,https://www.wikidata.org/wiki/Q427655
Pasewalk,297874633,53.5053677,13.9889049,Q493924,https://www.wikidata.org/wiki/Q493924
Luzern,297910179,47.0505452,8.3054682,Q4191,https://www.wikidata.org/wiki/Q4191
Schweidnitz,298070532,50.8424835,16.4870549,Q387396,https://www.wikidata.org/wiki/Q387396
Angermünde,297811692,53.017276,13.9981503,Q490066,https://www.wikidata.org/wiki/Q490066
Darmstadt,337693928,49.872775,8.651177,Q2973,https://www.wikidata.org/wiki/Q2973
Nauen,299121255,52.6061065,12.8772599,Q581994,https://www.wikidata.org/wiki/Q581994
Eberswalde,297789197,52.8350807,13.7996542,Q9306,https://www.wikidata.org/wiki/Q9306
Riesa,297712963,51.3038241,13.308828,Q8775,https://www.wikidata.org/wiki/Q8775
Zittau,298014057,50.8959142,14.8064417,Q157200,https://www.wikidata.org/wiki/Q157200
Lübeck,115338,53.866444,10.684738,Q2843,https://www.wikidata.org/wiki/Q2843
Göttingen,297565160,51.5328328,9.9351811,Q3033,https://www.wikidata.org/wiki/Q3033
Dahlen,297992499,51.3660978,12.9984348,Q12043,https://www.wikidata.org/wiki/Q12043
Naunhof,297811433,51.2779508,12.5882898,Q10771,https://www.wikidata.org/wiki/Q10771
Dessau,557894,51.8309956,12.2430723,Q487070,https://www.wikidata.org/wiki/Q487070
Stockholm,118985,59.3251172,18.0710935,Q1754,https://www.wikidata.org/wiki/Q1754
Strassburg,297508568,48.584614,7.7507127,Q6602,https://www.wikidata.org/wiki/Q6602
Meerane,297693143,50.8427835,12.4581578,Q20083,https://www.wikidata.org/wiki/Q20083
Langensalza,91859623,52.1714124,9.6598954,NA,https://www.wikidata.org/wiki/
Solingen,297716620,51.1721629,7.0845893,Q2942,https://www.wikidata.org/wiki/Q2942
Reichenberg,298031582,50.7702648,15.0583947,Q146351,https://www.wikidata.org/wiki/Q146351
Neumark,298048110,51.079026,11.2441904,Q570067,https://www.wikidata.org/wiki/Q570067
Potsdam,297654326,52.4009309,13.0591397,Q1711,https://www.wikidata.org/wiki/Q1711
Radebeul,297736991,51.0999765,13.6767995,Q8762,https://www.wikidata.org/wiki/Q8762
Düsseldorf,297487281,51.2254018,6.7763137,Q1718,https://www.wikidata.org/wiki/Q1718
Beuthen,297777534,50.3470387,18.9231857,Q102350,https://www.wikidata.org/wiki/Q102350
Gera,297853036,50.8772301,12.0796208,Q3750,https://www.wikidata.org/wiki/Q3750
Biada,138473987,35.220685,5.715581111111108,NA,https://www.wikidata.org/wiki/
Seelow,297803694,52.5318238,14.380704,Q587069,https://www.wikidata.org/wiki/Q587069
Karlshorst,297830001,52.4843399,13.5235848,Q703218,https://www.wikidata.org/wiki/Q703218
Ratibor,298203120,50.090525150000005,18.21514950291531,Q25302,https://www.wikidata.org/wiki/Q25302
Schoppinitz,18728896,50.2626409,19.0948489,NA,https://www.wikidata.org/wiki/
Kattowitz,297591187,50.2598987,19.0215852,Q588,https://www.wikidata.org/wiki/Q588
Frankenstein,298291724,49.4377753,7.9791823,Q23036,https://www.wikidata.org/wiki/Q23036
Zabrze,298305426,50.3086154,18.7863749,Q103892,https://www.wikidata.org/wiki/Q103892
