"Wohnort","Datum","Anzahl"
"Berlin",1910-06-06,3
"Berlin",1922-06-04,1
"Berlin",1922-08-25,2
"Berlin",1923-05-30,2
"Berlin",1923-08-18,2
"Berlin",1926-05-15,4
"Berlin",1932-06-01,2
"Berlin",1932-07-08,1
"Breslau",1923-08-18,1
"Coblenz",1910-06-06,1
"Dresden",1910-06-06,2
"Dresden",1923-08-18,1
"Göttingen",1922-09-16,1
"Gr. Sperrenwalde",1922-06-04,1
"Haida",1923-05-30,1
"Hamborn",1926-05-15,1
"Hamburg",1926-05-15,2
"Kiel",1926-05-15,1
"Königsberg",1932-07-08,1
"Leipzig",1910-06-06,1
"Neustadt i. S.",1910-06-06,1
"Schlatkow",1910-06-06,1
"Stettin",1923-05-30,1
"Stettin",1926-05-15,1
"Wieden i. Bayern",1922-09-16,1
"Wien",1923-08-18,1
"Wilmersdorf",1926-05-15,1
"Witten",1923-05-30,1
"Zehlendorf-West",1926-05-15,1
NA,1910-06-06,1
