"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1D_T2M_X",1757,1920-01-01,4.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-02,1.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-03,0.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-04,-0.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-05,0,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-06,0.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-07,-0.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-08,4.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-09,3.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-10,2.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-11,6.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-12,6.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-13,4.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-14,3.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-15,1.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-16,6.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-17,7.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-18,8.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-19,9.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-20,7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-21,3.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-22,1.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-23,2.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-24,2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-25,5.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-26,1.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-27,1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-28,-0.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-29,-3.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-30,1.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-01-31,3.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-01,4.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-02,6.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-03,7.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-04,5.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-05,5.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-06,1.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-07,1.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-08,4.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-09,1.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-10,6.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-11,8.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-12,5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-13,3.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-14,6.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-15,3.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-16,8.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-17,7.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-18,6.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-19,10.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-20,10.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-21,2.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-22,2.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-23,8.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-24,4.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-25,5.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-26,9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-27,7.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-28,4.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-02-29,7.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-01,8.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-02,12.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-03,10,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-04,8.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-05,15.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-06,15.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-07,17.1,5,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-08,5.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-09,4.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-10,6.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-11,5.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-12,1.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-13,7.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-14,4.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-15,5.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-16,9.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-17,6.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-18,10.2,5,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-19,8.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-20,8.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-21,10.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-22,8.2,5,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-23,7.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-24,11.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-25,13.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-26,15.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-27,17.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-28,15.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-29,14.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-30,10.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-31,11.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-01,15.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-02,15.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-03,11.1,0,1
